model,f1_train,f1_val,train_auroc,val_auroc,auroc_dif,best_param,info,with_duration
LogisticRegression_example,0.5168800931315483,0.506544502617801,0.93737,0.93939,-0.0020199999999999108,"{'solver': 'liblinear', 'random_state': 42}","Модель стабільна (train ≈ val). Може бути використана як стартова модель, але можна покращити через розширення ознак або поліноміальні взаємодії.",1.0
LogisticRegression_pipeline,0.5205570291777188,0.5142857142857142,0.9375,0.93945,-0.0019500000000000073,"{'solver': 'liblinear', 'random_state': 42}","Pipeline з препроцесінгом дає невелике покращення F1. AUROC стабільний. Варто використовувати як базову, особливо якщо дані різнорідні (категоріальні + числові).",1.0
LogisticRegression_pipeline_degree_5,0.5532734274711169,0.5614035087719298,0.9444,0.9454,-0.0010000000000000009,"{'solver': 'liblinear', 'random_state': 42, 'polinom_degree': 5}","Поліноміальні ознаки (степінь 5) дають найвищий F1 серед логістичних моделей (0.56). AUROC дуже високий. Гарна модель, але варто перевірити перенавчання на нових даних.",1.0
KNeighborsClassifier,1.0,0.39344262295081966,1.0,0.75687,0.24312999999999996,"{'n_neighbors': 4, 'weights': 'distance'}","Дуже висока F1 на train (1.0), але сильне падіння на val (0.39). Перенавчання. Використовувати не рекомендую без регуляризації або зміни кількості сусідів.",1.0
KNeighborsClassifier_knn_best,0.29873200085966045,0.2670111972437554,0.8908,0.82939,0.061410000000000076,{'n_neighbors': np.int64(23)},"Більш “помірна” конфігурація KNN. F1 низький (0.27). Недостатньо ефективна. Можна спробувати оптимізацію weights, metric та масштабування ознак.",1.0
DecisionTreeClassifier,0.7855388813096862,0.5641025641025641,0.98425,0.8481,0.13615,"{'criterion': 'entropy', 'max_depth': 13, 'random_state': 42}","F1 train 0.79 vs val 0.56, AUROC train 0.98 vs val 0.85. Перенавчання, але модель дає непогану AUROC. Варто обмежити max_depth або min_samples_leaf, або використовувати ансамблі дерев.",1.0
DecisionTreeClassifier_best_estimator_,0.5700075357950264,0.5682352941176471,0.92063,0.92407,-0.0034399999999999986,"{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 8, 'max_leaf_nodes': np.int64(11), 'max_features': None, 'max_depth': np.int64(4), 'criterion': 'entropy'}","Менш складне дерево, F1 ≈ 0.57, AUROC ≈ 0.92. Баланс train/val хороший. Може бути використана як просте, стабільне дерево.",1.0
GradientBoostingClassifier,0.6880165289256198,0.6177474402730375,0.96349,0.95029,0.01319999999999999,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5, 'learning_rate': 0.1}","F1 train 0.69, val 0.62, AUROC 0.96/0.95. Добре збалансована модель, стабільна, рекомендована до використання. Можна спробувати збільшити n_estimators або оптимізувати learning_rate.",1.0
XGBClassifier,0.5979822684194436,0.5790108564535585,0.95061,0.94808,0.002529999999999921,"{'max_depth': 3, 'n_estimators': 30, 'enable_categorical': True}","F1 ≈ 0.58, AUROC ≈ 0.95. Стабільна, але трохи гірше за Gradient Boosting. Можна тюнити n_estimators та max_depth, потенційно краща продуктивність з більшою кількістю дерев.",1.0
XGBClassifier_hyperopt,0.9709270433351618,0.5973884657236126,0.99943,0.94356,0.055870000000000086,"{'colsample_bytree': np.float64(0.721289765380893), 'gamma': np.float64(0.20620431009101103), 'learning_rate': np.float64(0.18141560271060198), 'max_depth': 6, 'min_child_weight': 2, 'n_estimators': 500, 'reg_alpha': np.float64(0.017096689947744492), 'reg_lambda': np.float64(0.9057316356341925), 'subsample': np.float64(0.6162303187347985)}","Дуже висока F1 на train (0.97), але помітне падіння на val (0.60). Перенавчання, але AUROC на val все ще висока (0.94). Потенційно краща продуктивність з регуляризацією (subsample, colsample_bytree) або ранньою зупинкою.",1.0
LGBMClassifier,0.5678113625573666,0.5532710280373832,0.9486,0.94771,0.0008899999999999464,"{'max_depth': 3, 'n_estimators': 50, 'learning_rate': 0.1, 'verbose': -1}","Тренувальна та валідаційна метрики близькі, перенавчання мінімальне. AUROC ≈ 0.948/0.948 – дуже висока та стабільна. Може служити як базова стартова модель або для порівняння.",1.0
LGBMClassifier_hyperopt,0.6926253687315634,0.6133486766398158,0.96877,0.95237,0.01639999999999997,"{'colsample_bytree': np.float64(0.9494431544017784), 'learning_rate': np.float64(0.014826399805098874), 'max_depth': 10, 'min_child_weight': 1, 'min_split_gain': np.float64(0.018438414694829198), 'n_estimators': 250, 'num_leaves': 68, 'reg_alpha': np.float64(0.43114847346325713), 'reg_lambda': np.float64(0.31459793651174406), 'subsample': np.float64(0.666415739204993)}",Значно покращена продуктивність порівняно з базовою моделлю. Добрий кандидат для фінальної моделі. Можна додатково спробувати n_estimators більше або ранню зупинку (early_stopping) для оптимізації.,1.0
