model,f1_train,f1_val,train_auroc,val_auroc,auroc_dif,best_param,comments,with_duration
LogisticRegression_example,0.3367739324023477,0.30488815244407624,0.79303,0.79895,-0.005920000000000036,"{'solver': 'liblinear', 'random_state': 42}","Базова логістична регресія. F1 низький, AUROC стабільний. Погано класифікує меншість.",0.0
LogisticRegression_pipeline,0.3369059656218402,0.30629139072847683,0.79305,0.79898,-0.005929999999999991,"{'solver': 'liblinear', 'random_state': 42}","Те саме, що вище, з невеликим покращенням F1. Підходить як базова модель.",0.0
LogisticRegression_pipeline_degree_5,0.3488372093023256,0.3162184189079055,0.79755,0.80198,-0.004430000000000045,"{'solver': 'liblinear', 'random_state': 42, 'polinom_degree': 5}","Поліноміальні ознаки підвищують F1 і AUROC трохи, але F1 все ще низький. Можна пробувати для feature engineering.",0.0
KNeighborsClassifier,0.9649424527053843,0.3483076923076923,0.99925,0.70433,0.29491999999999996,"{'n_neighbors': 4, 'weights': 'distance'}","Сильно перенавчена (F1_train >> F1_val), AUROC_dif високий. Не рекомендується без масштабування та підбору k.",0.0
KNeighborsClassifier_knn_best,0.3152852977925864,0.28309741881765194,0.85069,0.7694,0.08128999999999997,{'n_neighbors': np.int64(22)},"Краще збалансована, F1_val все ще низький. Може працювати як допоміжна модель.",0.0
DecisionTreeClassifier,0.5402569205717387,0.3503230437903805,0.86657,0.70694,0.15962999999999994,"{'criterion': 'entropy', 'max_depth': 13, 'random_state': 42}","Перенавчена базова модель, AUROC_dif високий. Потрібно обмежити глибину і мінімальні листки.",0.0
DecisionTreeClassifier_best_estimator_,0.3726059199071387,0.3553459119496855,0.78874,0.80019,-0.01144999999999996,"{'splitter': 'best', 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_leaf_nodes': np.int64(19), 'max_features': None, 'max_depth': np.int64(11), 'criterion': 'entropy'}","Збалансоване дерево, AUROC_dif низький, F1_val трохи вище. Рекомендується для використання.",0.0
GradientBoostingClassifier,0.5634686346863469,0.3671933784800602,0.87081,0.80602,0.06479000000000001,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 7, 'learning_rate': 0.1}","Стабільна модель, F1_val ~0.37, AUROC_val 0.806. Добре працює без сильного перенавчання.",0.0
XGBClassifier,0.389225063439391,0.3402555910543131,0.81413,0.81061,0.0035199999999999676,"{'max_depth': 3, 'n_estimators': 30, 'enable_categorical': True}","Базова XGB стабільна, AUROC_dif ~0.0035, F1_val низький. Підходить як стабільна модель для ranking/prediction.",0.0
XGBClassifier_hyperopt,0.7253731343283583,0.414021164021164,0.9706,0.76817,0.20243,"{'colsample_bytree': np.float64(0.721289765380893), 'gamma': np.float64(0.20620431009101103), 'learning_rate': np.float64(0.18141560271060198), 'max_depth': 6, 'min_child_weight': 2, 'n_estimators': 500, 'reg_alpha': np.float64(0.017096689947744492), 'reg_lambda': np.float64(0.9057316356341925), 'subsample': np.float64(0.6162303187347985)}","Дуже перенавчена, F1_train=0.72 vs F1_val=0.41, AUROC_dif=0.2. Потрібно сильне регуляризування або зменшення n_estimators.",0.0
LGBMClassifier,0.3525121555915721,0.31795716639209226,0.80445,0.80835,-0.0039000000000000146,"{'max_depth': 3, 'n_estimators': 50, 'learning_rate': 0.1, 'verbose': -1}","Стабільна модель, AUROC_dif майже нуль, F1_val низький. Добре підходить для базового використання.",0.0
LGBMClassifier_hyperopt,0.32110874200426437,0.2795138888888889,0.82261,0.81522,0.007390000000000008,"{'colsample_bytree': np.float64(0.9453405353908058), 'learning_rate': np.float64(0.022655631706471058), 'max_depth': 7, 'min_child_weight': 8, 'min_split_gain': np.float64(0.03497023590181363), 'n_estimators': 75, 'num_leaves': 53, 'reg_alpha': np.float64(0.039587846487379674), 'reg_lambda': np.float64(0.3469279156982029), 'subsample': np.float64(0.9141861063244769)}","Перенавчання слабке, але F1_val ще нижче. Потрібна додаткова оптимізація hyperparameters та feature selection.",0.0
